Locations/Villages,Population 2011
Adur,931
Anagalapura,578
Avalahalli,"7,077"
Bandapura,"1,081"
Bandebommasandra,883
Bendiganahalli,240
Bidarahalli,"2,621"
Bidare Agrahara,"1,869"
Bommenahalli,"1,320"
Byappanahalli,"1,469"
Cheemasandra,"3,631"
Chikkabanahalli,"1,275"
Chikkakannalli,58
Chikkanayakanahalli,"1,315"
Chikkasandra,15
Doddabanahalli,"1,224"
Doddenahalli,0
Dommasandra,"1,139"
Goravigere,"1,355"
Gundur,"1,498"
Hadosiddapura,915
Halanayakanahalli,"3,648"
Halehalli,882
Hancharahalli,"1,200"
Hirandahalli,"3,547"
Huskur,"1,444"
Huvinane,0
Jothipura,"1,227"
Kachamaranahalli,"1,056"
Kada Agrahara,835
Kadusonnappanahalli,"2,498"
Kammasandra,315
Kannamangala,"4,381"
Katamnallur,"1,954"
Kattugollahalli,966
Khaji Sonnenahalli,"1,812"
Kithiganur,"3,920"
Kodathi,"2,911"
Kodigehalli,152
Konadasapura,"4,170"
Kurudusonnenahalli,"1,074"
Lagumenahalli,306
Mandur,"2,295"
Maragondanahalli,"3,014"
Mittaganahalli,"1,010"
Mulluru,"3,416"
Nadagowdagollahalli,681
Nimbekaipura,898
Raghuvanahalli,142
Rampura,"2,680"
Seegehalli,"3,858"
Shringaripura,15
Sulikunte,"2,295"
Thirumenahalli,555
Valepura,"1,213"
Veerenahalli,"2,182"
Yerappanahalli,"1,418"
