Locations/Villages,Population 2011
A Medihalli,451
Adigarakallahalli,"2,915"
Adigondanahalli,"1,354"
Adur,717
Agasa Thimmanahalli,22
Ali Bommasandra,700
Amani Bidarakere,0
Amani Doddakere,32
Andapura,"1,769"
Anekal,"1,575"
Aravantigepura,247
Arehalli,851
Arenur,630
Avadadenahalli,680
Avalahalli,551
B Hosahalli,"1,205"
Bagganadoddi,386
Balagaranahalli,"5,447"
Ballur,"4,572"
Banahalli,475
Banahalli,"5,819"
Bandapura,853
Bande Nalla Sandra,"1,348"
Bannerughatta,"8,054"
Bannerughatta Kaval,240
Begihalli,"1,412"
Bendiganahalli,658
Bestammanahalli,830
Bhaktipura,360
Bhoothanahalli,"1,944"
Bhovi Palya (Shanthi Pur),"4,379"
Bidaragere,"1,006"
Bidaraguppe,"3,787"
Bidarakadahalli,5
Bikkanahalli,845
Bilchikkanahalli,49
Billapura,"2,242"
Bilwaradahalli,"3,591"
Bommandahalli,798
Bujangadasanakere,0
Bukkasagara,"1,748"
Buragunte,716
Byagadadenahalli,"1,435"
Byalahalli,0
Byrappanahalli,486
Chambenahalli,"1,271"
Chandapura,"4,562"
Chandrapura Chatrakane,"5,934"
Channena Agrahara,458
Chikka Hagade,866
Chikka Hosahalli,"1,367"
Chikkadasarahalli,502
Chikkadunnasandra,0
Chikkanagamangala,827
Chikkanahalli,295
Chikkanahalli,293
Chikkanahatti,15
Chikkanekkundi,929
Chikkathimmasandra,339
Chikkavaderapura,44
Chintalmadivala,924
Chokkasandra,432
Choodasandra,"2,476"
Chudenahalli,497
Dasanapura,"1,433"
Deshapande Guttahalli,51
Dodda Hagade,898
Doddathimmasandra,709
Dyavasandra,564
Gattahalli,756
Geratiganabele,"1,078"
Giddenahalli,413
Giddenahalli,0
Gollahalli,137
Gollahalli,"7,433"
Gonighattapura,767
Gopasandra,636
Gottamaranahalli,20
Gowrenahalli,"2,226"
Guddahatti,"1,635"
Gudighattanahalli,33
Gudnahalli,"1,110"
Gulimangala,849
Halasahalli Thippasandra,982
Haldenahalli,"1,456"
Halehalli,864
Halesampigehalli,928
Handenahalli,"1,643"
Haragadde,"7,735"
Harapanahalli,"3,040"
Harohalli,501
Hasaruvani,17
Heelalige,"4,077"
Heggondahalli,652
Hennagara,"2,801"
Hennagara Amanikere,0
Hinnakki,"1,384"
Hompalaghatta,631
Honnakalasapura,494
Hosahalli,875
Hulimangala,"2,787"
Hullahalli,"3,510"
Hullukasavanahalli,218
Huskur,"2,598"
Iggalur,"4,702"
Indlabele,"3,522"
Indlawadi,"1,933"
Indlawadipura,630
Itchangur,"1,347"
Ittangur,804
J Bingipura,75
Janatha Colony,759
Jangal Palya,520
Janthagondanahalli,703
Jigala,"1,384"
Kachanaikanahalli,"5,606"
Kadagrahara,720
Kadajakkanahalli,566
Kaggalipura,232
Kalanaikanahalli,342
Kalbalu,"1,979"
Kalkere,"2,793"
Kamanahalli,585
Kamblipura,558
Kammasandra,"9,912"
Kammasandra Agrahara,664
Kannaikana Agrahara,"2,081"
Karpur,"2,026"
Kathriguppe,838
Kaval Hosahalli,"1,638"
Kempavaderahalli,287
Kittaganahalli,"7,280"
Kodlipura,752
Kommasandra,802
Konasandra,684
Koppa,"1,474"
Koppa Gate,"1,415"
Kotiganahalli,249
Krishnasagara,594
Kugur,831
Kumbaranahalli,725
Kunmadivala,480
Kurubarahatti,30
Kuthaganahalli,"1,102"
Kyalasanahalli,"1,892"
Laxmi Sagara,"1,007"
Laxmipura,"1,524"
Lingapura,895
M Medihalli,659
Mada Patna,"4,076"
Madappanahalli,413
Madivala,"2,792"
Mahal Chowdadenahalli,591
Mahanthalingapura,"2,751"
Manchanahalli,"1,313"
Mantapa,"1,438"
Maranaikanahalli,779
Marasur,"3,034"
Marasur Agrahara,136
Masthena Halli,"1,506"
Mattanahalli,658
Mayasandra,"3,659"
Menasiganahalli,868
Mugalur,"1,442"
Muthagatti,"2,758"
Muthanallur,"1,663"
Muthanallur Amanikere,239
Muthasandra,540
Naganaikanahalli,"1,272"
Nagen Agrahara,18
Nallasandra,803
Nanjapura,405
Narayanaghatta,"1,060"
Nekkundi Dommasandra,"1,295"
Neralur,"5,608"
Neriga,"1,351"
Nosenur,"1,165"
Nosenur Gollahalli,515
Panditana Agrahara,824
Patnagere Gollahalli,232
Rachamanahalli,773
Ragihalli,"1,655"
Rajapura,912
Ramakrishnapura,339
Ramasagara,"2,199"
Ramasandra,343
Ramnaikanahalli,418
Rayasandra,"2,338"
S Bingipura,"1,851"
S Medihalli,797
Sakalawara,827
Samanahalli,566
Samandur,"2,501"
Seeganaikanahalli,55
Seethanaikana Halli,337
Shivanahalli,"1,380"
Sidihosakote,"1,591"
Singasandra,434
Singena Agrahara,"1,513"
Sollepura,678
Solur,496
Sompura,"1,160"
Sonnanayakanapura,"1,240"
Soppahalli,489
Sriramapura,"1,162"
Submangala,849
Sunavara,"1,133"
Suragajakkanahalli,"1,311"
Telagarahalli,756
Thammanaikanahalli,"2,527"
Thattanahalli,923
Thigala Chowdadenahalli,"3,532"
Thimmasandra,194
Thindlu,"1,079"
Thirumagondanahalli,"2,107"
Thirupalya,"14,762"
Tyayakana Halli,"1,142"
Vabasandra,733
Vaddara Palya,"4,686"
Vaderahalli,57
Vaderamanchanahalli,"2,599"
Vanakanahalli,"1,374"
Veerasandra,"9,190"
Volagerekallahalli,"1,118"
Yadavanahalli,"6,422"
Yamare,"2,184"
Yarandahalli,"5,732"
