Location,Latitude,Longitude
Adur,41.12198,48.30284
Anagalapura,13.0682,77.68251
Avalahalli,13.45101,77.81127
Bandapura,12.76805,77.7284
Bandebommasandra,12.81752,77.67882
Bendiganahalli,12.81373,77.74121
Bidarahalli,13.05917,77.71568
Bidare Agrahara,17.87255,76.94765
Bommenahalli,13.07307,77.74752
Byappanahalli,13.07572,77.72436
Cheemasandra,13.0461,77.72157
Chikkabanahalli,13.289,77.62485
Chikkakannalli,38.89037,-77.03196
Chikkanayakanahalli,12.89593,77.69206
Chikkasandra,38.89037,-77.03196
Doddabanahalli,13.13615,78.28863
Doddenahalli,13.06657,77.92173
Dommasandra,12.88502,77.74679
Goravigere,13.04117,77.77118
Gundur,10.73553,78.71765
Hadosiddapura,12.89375,77.70293
Halanayakanahalli,12.89546,77.68585
Halehalli,13.15568,75.56693
Hancharahalli,13.33069,77.61584
Hirandahalli,13.04615,77.72475
Huskur,13.0603,77.76227
Huvinane,14.36556,74.77622
Jothipura,11.16448,76.94635
Kachamaranahalli,13.01993,77.63007
Kada Agrahara,11.65586,78.16535
Kadusonnappanahalli,13.10569,77.66483
Kammasandra,13.2068,77.37992
Kannamangala,13.19509,77.41109
Katamnallur,13.04967,77.76593
Kattugollahalli,13.09524,77.73817
Khaji Sonnenahalli,12.94264,77.48035
Kithiganur,13.03723,77.70919
Kodathi,12.8867,77.71689
Kodigehalli,13.33645,77.63879
Konadasapura,12.80246,77.92914
Kurudusonnenahalli,38.89037,-77.03196
Lagumenahalli,13.41737,77.53826
Mandur,15.4482,73.9226
Maragondanahalli,13.03624,77.6926
Mittaganahalli,12.97195,77.96974
Mulluru,13.24879,75.11704
Nadagowdagollahalli,12.84246,77.45293
Nimbekaipura,38.89037,-77.03196
Raghuvanahalli,12.87968,77.54536
Rampura,21.20805,72.82942
Seegehalli,13.01293,77.72082
Shringaripura,13.1026,77.74411
Sulikunte,13.03502,78.1186
Thirumenahalli,13.09542,77.62732
Valepura,38.89037,-77.03196
Veerenahalli,13.02323,77.73897
Yerappanahalli,13.55069,77.8818
Adakamaranahalli,12.94563,77.31072
Adde Vishwanathapura,13.14804,76.677
Adiganahalli,12.31016,76.22972
Agrahara Palya,53.53755,32.04972
Alur,12.97128,76.00509
Arakere,12.88567,77.59674
Arebinnamangala,13.2538,77.74431
Avalahalli,13.45101,77.81127
Avverahalli,12.83659,76.10258
Bagalur,12.8291,77.86413
Bandi Kodige Halli,13.06583,77.57217
Bandi Kodigehalli Palya,13.1735,77.70814
Bandikodegehalli Amanikere,38.89037,-77.03196
Begur,41.95185,3.2062
Bethanagere,13.11437,77.41129
Bettahalasur,13.15507,77.60496
Bettahalli,13.01584,77.43805
Bilijaji,13.12719,77.47656
Bilmaranahalli,13.14927,77.63985
Boilahalli,13.29574,78.02213
Bommasettihalli,13.12587,77.41667
Budumanahalli,13.19007,77.52864
Byanahalli,13.31335,75.70645
Byandahalli,13.00536,77.4451
Byappanahalli,13.07572,77.72436
Byatha,26.47659,85.20215
Bylakere,13.24031,76.18788
Bylakonenahalli,13.00149,77.4701
Byrapura,13.31083,77.76332
Byregowdanahalli,38.89037,-77.03196
Chagalahatti,17.21659,76.22718
Challahalli,13.2157,77.5077
Challamakunte,13.12908,77.73099
Channahalli,12.95738,75.94267
Channasandra,12.98279,77.76423
Chikkajala,13.168,77.6341
Chikkanahalli,13.08667,78.06096
Chokkanahalli,13.08475,77.62675
Chokkanahalli,13.08475,77.62675
Dasanapura,13.0761,77.43508
Dasanayakanahalli,14.73192,76.0486
Dasenahalli,13.1783,76.30382
Dibburu,13.16705,77.53013
Doddajala,13.18282,77.65296
Doddajala Amanikere,13.18282,77.65296
Dombarahalli,13.04684,77.46154
Dummanur,13.21854,80.19701
Gadenahalli,13.01612,76.22532
Gangondanahalli,13.02804,77.47786
Ganigarahalli,13.0873,77.51102
Gantiganahalli,13.36049,77.60464
Gattisiddanahalli,38.89037,-77.03196
Gavipalya,12.76539,77.52837
Gejjagadahalli,13.0745,77.42332
Giddenahalli,13.34794,76.04427
Gollahalli,13.35912,78.10263
Gollarapalya,12.97157,77.28226
Gopalapura,26.86891,75.78553
Govindapura,23.26591,77.44192
Gowdahalli,13.25517,78.14372
Guddadahalli,13.28002,76.64798
Guniagrahara,13.09625,77.52618
Haniyur,12.54088,77.28073
Hanumantha Sagara,13.07237,77.46761
Harokyathanahalli,12.95466,77.70752
Heggadadevanapura,13.07551,77.45952
Hesaraghatta,13.13731,77.47831
Hesaraghatta Grass Farm,13.13788,77.47884
Honnasandra,13.11046,77.4436
Honnenahalli,12.83368,76.65789
Hosahalli,12.88125,77.53321
Hosahalli Palya,13.26597,76.62796
Huchana Palya,53.53755,32.04972
Hullegowdanahalli,13.05767,77.40808
Hunachur,38.89037,-77.03196
Hunnigere,39.5496,-81.4695
Hurali Chikkanahalli,13.11489,77.48255
Huskur,13.0603,77.76227
Huttanahalli,13.16321,77.6519
Huvinayakanahalli,13.14659,77.69101
Ittagallpura,13.16937,77.54355
Ivar Kandapura,26.74921,77.53955
Jarakbandekaval,41.64007,33.17767
K G Lakkenahalli,13.02634,77.46057
K G Srikantapura,11.00842,79.57754
Kachohalli,12.99983,77.47378
Kadabagere,14.71457,76.08986
Kadaranahalli,13.39152,77.68686
Kadathanamale,13.20925,77.54675
Kakkehalli,13.29237,77.51235
Kakolu,13.18478,77.52224
Kalathammanahalli,13.1027,77.51902
Kalenahalli,14.47277,74.87996
Kamakshipura,13.19781,77.48914
Kammasandra,13.2068,77.37992
Kannahalli,12.87037,76.78864
Kasagattapura,13.10886,77.50611
Kempanahalli,13.10985,77.55702
Kempapura,13.13125,77.80185
Kenganahalli,13.05106,77.41227
Kittana Halli,12.44664,78.04578
Kodagi Thirumalapura,13.97394,76.20261
Kodigehalli(Part),13.06583,77.57217
Kodipalya,13.03331,76.86382
Koluvarayanahalli,13.16404,77.52448
Kondashetti Halli,38.89037,-77.03196
Krishnarajapura,13.17518,78.24957
Krishnasagara,13.34529,76.65041
